Date,Stock,Sector,Closing Price,Trading Volume
2023-04-18,AAPL,Finance,390.44,205228.0
2023-04-19,AAPL,Finance,337.19,4720650.0
2023-04-20,AAPL,Finance,140.89,1855692.0
2023-04-21,AAPL,Finance,467.5,
2023-04-22,AAPL,Finance,416.03,1830228.0
2023-04-23,AAPL,Finance,109.21,2046793.0
2023-04-24,AAPL,Finance,360.55,1669123.0
2023-04-25,AAPL,Finance,408.5,3379269.0
2023-04-26,AAPL,Finance,249.77,1826470.0
2023-04-27,AAPL,Finance,127.57,3440420.0
2023-04-28,AAPL,Finance,130.93,148874.0
2023-04-29,AAPL,Finance,141.7,1722572.0
2023-04-30,AAPL,Finance,436.18,3320281.0
2023-05-01,AAPL,Finance,464.27,2789784.0
2023-05-02,AAPL,Finance,149.12,809662.0
2023-05-03,AAPL,Finance,194.36,4972554.0
2023-05-04,AAPL,Finance,166.21,570452.0
2023-05-05,AAPL,Finance,174.53,2239686.0
2023-05-06,AAPL,Finance,435.0,2692670.0
2023-05-07,AAPL,Finance,232.86,4910833.0
2023-05-08,AAPL,Finance,224.58,542061.0
2023-05-09,AAPL,Finance,190.96,3434732.0
2023-05-10,AAPL,Finance,343.16,
2023-05-11,AAPL,Finance,251.72,2361286.0
2023-05-12,AAPL,Finance,397.7,588972.0
2023-05-13,AAPL,Finance,182.23,1223994.0
2023-05-14,AAPL,Finance,415.12,3181328.0
2023-05-15,AAPL,Finance,341.49,4198064.0
2023-05-16,AAPL,Finance,145.71,2717703.0
2023-05-17,AAPL,Finance,265.8,263038.0
2023-05-18,AAPL,Finance,445.41,4063735.0
2023-05-19,AAPL,Finance,469.18,1474572.0
2023-05-20,AAPL,Finance,286.28,2455874.0
2023-05-21,AAPL,Finance,292.33,700530.0
2023-05-22,AAPL,Finance,467.38,3748966.0
2023-05-23,AAPL,Finance,334.83,1177833.0
2023-05-24,AAPL,Finance,113.14,2677640.0
2023-05-25,AAPL,Finance,465.1,
2023-05-26,AAPL,Finance,199.29,1292929.0
2023-05-27,AAPL,Finance,331.05,423390.0
2023-05-28,AAPL,Finance,166.21,1764221.0
2023-05-29,AAPL,Finance,113.55,4168316.0
2023-05-30,AAPL,Finance,224.59,1756671.0
2023-05-31,AAPL,Finance,412.2,238563.0
2023-06-01,AAPL,Finance,211.03,883066.0
2023-06-02,AAPL,Finance,188.04,1654623.0
2023-06-03,AAPL,Finance,185.07,4999856.0
2023-06-04,AAPL,Finance,306.07,4155957.0
2023-06-05,AAPL,Finance,490.22,697897.0
2023-06-06,AAPL,Finance,283.6,4041237.0
2023-06-07,AAPL,Finance,322.92,872800.0
2023-06-08,AAPL,Finance,444.25,2142999.0
2023-06-09,AAPL,Finance,314.03,3622554.0
2023-06-10,AAPL,Finance,173.79,3759985.0
2023-06-11,AAPL,Finance,219.84,2002897.0
2023-06-12,AAPL,Finance,223.97,3676511.0
2023-06-13,AAPL,Finance,258.93,1263950.0
2023-06-14,AAPL,Finance,270.72,649148.0
2023-06-15,AAPL,Finance,419.91,2873707.0
2023-06-16,AAPL,Finance,239.75,4778394.0
2023-06-17,AAPL,Finance,287.29,2873939.0
2023-06-18,AAPL,Finance,349.99,2035740.0
2023-06-19,AAPL,Finance,251.09,3534955.0
2023-06-20,AAPL,Finance,434.63,2845226.0
2023-06-21,AAPL,Finance,334.98,3277326.0
2023-06-22,AAPL,Finance,217.62,1654510.0
2023-06-23,AAPL,Finance,385.62,1930815.0
2023-06-24,AAPL,Finance,311.06,3863122.0
2023-06-25,AAPL,Finance,313.78,2486378.0
2023-06-26,AAPL,Finance,292.44,4521590.0
2023-06-27,AAPL,Finance,298.8,2634937.0
2023-06-28,AAPL,Finance,406.14,3257473.0
2023-06-29,AAPL,Finance,141.19,912461.0
2023-06-30,AAPL,Finance,233.75,4527036.0
2023-07-01,AAPL,Finance,130.2,4155555.0
2023-07-02,AAPL,Finance,401.3,1818224.0
2023-07-03,AAPL,Finance,208.92,2810626.0
2023-07-04,AAPL,Finance,458.97,1024044.0
2023-07-05,AAPL,Finance,310.63,3081352.0
2023-07-06,AAPL,Finance,420.3,1486652.0
2023-07-07,AAPL,Finance,491.57,385555.0
2023-07-08,AAPL,Finance,435.92,544191.0
2023-07-09,AAPL,Finance,446.8,1602337.0
2023-07-10,AAPL,Finance,263.19,3586669.0
2023-07-11,AAPL,Finance,320.69,1020597.0
2023-07-12,AAPL,Finance,201.56,2143338.0
2023-07-13,AAPL,Finance,178.45,3822946.0
2023-07-14,AAPL,Finance,302.2,1586205.0
2023-07-15,AAPL,Finance,338.02,2965899.0
2023-07-16,AAPL,Finance,235.71,324695.0
2023-07-17,AAPL,Finance,327.78,3081467.0
2023-07-18,AAPL,Finance,454.98,3541628.0
2023-07-19,AAPL,Finance,322.69,1201844.0
2023-07-20,AAPL,Finance,388.33,4867493.0
2023-07-21,AAPL,Finance,422.13,1510706.0
2023-07-22,AAPL,Finance,495.49,3440216.0
2023-07-23,AAPL,Finance,341.28,3933284.0
2023-07-24,AAPL,Finance,422.74,4957088.0
2023-07-25,AAPL,Finance,485.06,1947865.0
2023-07-26,AAPL,Finance,477.76,1019484.0
2023-07-27,AAPL,Finance,156.43,4997954.0
2023-07-28,AAPL,Finance,262.56,4117136.0
2023-07-29,AAPL,Finance,229.6,444855.0
2023-07-30,AAPL,Finance,134.77,1174961.0
2023-07-31,AAPL,Finance,353.3,4725678.0
2023-08-01,AAPL,Finance,394.36,3661963.0
2023-08-02,AAPL,Finance,439.25,2477935.0
2023-08-03,AAPL,Finance,149.11,1234106.0
2023-08-04,AAPL,Finance,450.58,4578011.0
2023-08-05,AAPL,Finance,357.17,2574968.0
2023-08-06,AAPL,Finance,381.58,2542266.0
2023-08-07,AAPL,Finance,464.25,4537677.0
2023-08-08,AAPL,Finance,349.9,4642001.0
2023-08-09,AAPL,Finance,234.35,1318758.0
2023-08-10,AAPL,Finance,430.04,1755743.0
2023-08-11,AAPL,Finance,245.22,4077019.0
2023-08-12,AAPL,Finance,113.69,3168281.0
2023-08-13,AAPL,Finance,432.26,4625208.0
2023-08-14,AAPL,Finance,238.08,618349.0
2023-08-15,AAPL,Finance,409.53,2981990.0
2023-08-16,AAPL,Finance,245.1,897968.0
2023-08-17,AAPL,Finance,444.43,179083.0
2023-08-18,AAPL,Finance,187.8,2755971.0
2023-08-19,AAPL,Finance,489.82,
2023-08-20,AAPL,Finance,411.9,2974299.0
2023-08-21,AAPL,Finance,145.7,4948341.0
2023-08-22,AAPL,Finance,326.31,1904673.0
2023-08-23,AAPL,Finance,494.15,3038199.0
2023-08-24,AAPL,Finance,288.43,709996.0
2023-08-25,AAPL,Finance,172.84,878513.0
2023-08-26,AAPL,Finance,293.91,3403389.0
2023-08-27,AAPL,Finance,304.98,4454385.0
2023-08-28,AAPL,Finance,,488590.0
2023-08-29,AAPL,Finance,379.54,1865982.0
2023-08-30,AAPL,Finance,261.02,2878655.0
2023-08-31,AAPL,Finance,187.21,3251882.0
2023-09-01,AAPL,Finance,358.02,3310016.0
2023-09-02,AAPL,Finance,268.68,2479877.0
2023-09-03,AAPL,Finance,152.91,2489383.0
2023-09-04,AAPL,Finance,460.23,264053.0
2023-09-05,AAPL,Finance,376.49,4887890.0
2023-09-06,AAPL,Finance,373.27,1536536.0
2023-09-07,AAPL,Finance,429.03,2642637.0
2023-09-08,AAPL,Finance,311.86,3490926.0
2023-09-09,AAPL,Finance,426.02,3713263.0
2023-09-10,AAPL,Finance,299.24,4258549.0
2023-09-11,AAPL,Finance,126.87,1446208.0
2023-09-12,AAPL,Finance,262.1,4630889.0
2023-09-13,AAPL,Finance,298.99,1878599.0
2023-09-14,AAPL,Finance,388.08,122431.0
2023-09-15,AAPL,Finance,142.63,1343131.0
2023-09-16,AAPL,Finance,156.01,747008.0
2023-09-17,AAPL,Finance,205.47,673441.0
2023-09-18,AAPL,Finance,206.6,4562816.0
2023-09-19,AAPL,Finance,392.87,4470380.0
2023-09-20,AAPL,Finance,200.29,2149949.0
2023-09-21,AAPL,Finance,353.24,1368300.0
2023-09-22,AAPL,Finance,297.71,2047763.0
2023-09-23,AAPL,Finance,329.32,1729849.0
2023-09-24,AAPL,Finance,435.24,1985077.0
2023-09-25,AAPL,Finance,261.75,3982149.0
2023-09-26,AAPL,Finance,408.36,4973062.0
2023-09-27,AAPL,Finance,268.81,150861.0
2023-09-28,AAPL,Finance,241.55,4945710.0
2023-09-29,AAPL,Finance,483.45,4100737.0
2023-09-30,AAPL,Finance,173.75,821001.0
2023-10-01,AAPL,Finance,136.13,2091083.0
2023-10-02,AAPL,Finance,408.39,4619216.0
2023-10-03,AAPL,Finance,127.3,1723911.0
2023-10-04,AAPL,Finance,434.83,1543717.0
2023-10-05,AAPL,Finance,274.88,4509352.0
2023-10-06,AAPL,Finance,466.21,2957733.0
2023-10-07,AAPL,Finance,388.61,1305663.0
2023-10-08,AAPL,Finance,344.16,133320.0
2023-10-09,AAPL,Finance,479.72,427025.0
2023-10-10,AAPL,Finance,258.66,464359.0
2023-10-11,AAPL,Finance,481.63,1408507.0
2023-10-12,AAPL,Finance,154.0,4166621.0
2023-10-13,AAPL,Finance,293.5,1043187.0
2023-10-14,AAPL,Finance,207.96,4093710.0
2023-10-15,AAPL,Finance,315.94,1697690.0
2023-10-16,AAPL,Finance,164.81,200734.0
2023-10-17,AAPL,Finance,436.61,257702.0
2023-10-18,AAPL,Finance,438.56,2951274.0
2023-10-19,AAPL,Finance,482.09,1325811.0
2023-10-20,AAPL,Finance,,1247087.0
2023-10-21,AAPL,Finance,349.33,3181091.0
2023-10-22,AAPL,Finance,289.69,3929049.0
2023-10-23,AAPL,Finance,237.75,2803381.0
2023-10-24,AAPL,Finance,240.62,1968670.0
2023-10-25,AAPL,Finance,,4393122.0
2023-10-26,AAPL,Finance,381.97,4446664.0
2023-10-27,AAPL,Finance,339.31,4913673.0
2023-10-28,AAPL,Finance,283.87,4855469.0
2023-10-29,AAPL,Finance,130.37,1032817.0
2023-10-30,AAPL,Finance,131.11,4435702.0
2023-10-31,AAPL,Finance,100.94,3378360.0
2023-11-01,AAPL,Finance,487.08,3062732.0
2023-11-02,AAPL,Finance,102.1,2280338.0
2023-11-03,AAPL,Finance,141.24,2092825.0
2023-11-04,AAPL,Finance,225.84,3932978.0
2023-11-05,AAPL,Finance,422.97,4215811.0
2023-11-06,AAPL,Finance,484.84,694604.0
2023-11-07,AAPL,Finance,416.01,2149927.0
2023-11-08,AAPL,Finance,376.22,3274108.0
2023-11-09,AAPL,Finance,308.52,2831638.0
2023-11-10,AAPL,Finance,134.68,364500.0
2023-11-11,AAPL,Finance,483.27,2267478.0
2023-11-12,AAPL,Finance,403.36,
2023-11-13,AAPL,Finance,355.58,739282.0
2023-11-14,AAPL,Finance,403.61,
2023-11-15,AAPL,Finance,389.64,2040369.0
2023-11-16,AAPL,Finance,354.89,4048242.0
2023-11-17,AAPL,Finance,492.23,1317060.0
2023-11-18,AAPL,Finance,461.35,1131519.0
2023-11-19,AAPL,Finance,358.67,889352.0
2023-11-20,AAPL,Finance,377.27,4778714.0
2023-11-21,AAPL,Finance,,1490281.0
2023-11-22,AAPL,Finance,367.97,
2023-11-23,AAPL,Finance,117.67,2422466.0
2023-11-24,AAPL,Finance,335.31,1951317.0
2023-11-25,AAPL,Finance,499.74,2046830.0
2023-11-26,AAPL,Finance,322.32,2714150.0
2023-11-27,AAPL,Finance,289.28,1668560.0
2023-11-28,AAPL,Finance,225.14,4760061.0
2023-11-29,AAPL,Finance,148.21,2705214.0
2023-11-30,AAPL,Finance,,2329180.0
2023-12-01,AAPL,Finance,177.04,2428599.0
2023-12-02,AAPL,Finance,146.11,1095843.0
2023-12-03,AAPL,Finance,268.71,4288891.0
2023-12-04,AAPL,Finance,418.14,726045.0
2023-12-05,AAPL,Finance,398.03,4131419.0
2023-12-06,AAPL,Finance,121.95,4595511.0
2023-12-07,AAPL,Finance,282.06,1524945.0
2023-12-08,AAPL,Finance,308.97,1491538.0
2023-12-09,AAPL,Finance,357.82,2463999.0
2023-12-10,AAPL,Finance,360.07,820488.0
2023-12-11,AAPL,Finance,245.88,4890691.0
2023-12-12,AAPL,Finance,324.27,519065.0
2023-12-13,AAPL,Finance,292.42,2884372.0
2023-12-14,AAPL,Finance,454.0,4325889.0
2023-12-15,AAPL,Finance,312.11,1563807.0
2023-12-16,AAPL,Finance,276.41,3192195.0
2023-12-17,AAPL,Finance,261.79,1716449.0
2023-12-18,AAPL,Finance,328.97,389102.0
2023-12-19,AAPL,Finance,421.59,1436737.0
2023-12-20,AAPL,Finance,315.36,3160006.0
2023-12-21,AAPL,Finance,364.66,2477074.0
2023-12-22,AAPL,Finance,395.14,2897753.0
2023-12-23,AAPL,Finance,308.07,1190805.0
2023-12-24,AAPL,Finance,270.73,4543778.0
2023-12-25,AAPL,Finance,450.67,4262065.0
2023-12-26,AAPL,Finance,267.0,3110087.0
2023-12-27,AAPL,Finance,284.78,360116.0
2023-12-28,AAPL,Finance,496.14,3068462.0
2023-12-29,AAPL,Finance,100.1,3142146.0
2023-12-30,AAPL,Finance,174.19,2718137.0
2023-12-31,AAPL,Finance,253.59,4314279.0
2023-01-01,GOOGL,Finance,224.86,304366.0
2023-01-02,GOOGL,Finance,,602420.0
2023-01-03,GOOGL,Finance,443.19,2351401.0
2023-01-04,GOOGL,Finance,103.61,1779161.0
2023-01-05,GOOGL,Finance,,1138199.0
2023-01-06,GOOGL,Finance,339.49,760902.0
2023-01-07,GOOGL,Finance,258.66,1638112.0
2023-01-08,GOOGL,Finance,194.81,1826676.0
2023-01-09,GOOGL,Finance,193.87,1470073.0
2023-01-10,GOOGL,Finance,453.48,4253585.0
2023-01-11,GOOGL,Finance,276.81,1785996.0
2023-01-12,GOOGL,Finance,232.36,3346417.0
2023-01-13,GOOGL,Finance,279.51,802436.0
2023-01-14,GOOGL,Finance,367.76,2643788.0
2023-01-15,GOOGL,Finance,158.3,1452144.0
2023-01-16,GOOGL,Finance,279.77,1651330.0
2023-01-17,GOOGL,Finance,,1071248.0
2023-01-18,GOOGL,Finance,479.43,4757851.0
2023-01-19,GOOGL,Finance,201.01,2707411.0
2023-01-20,GOOGL,Finance,243.7,1793439.0
2023-01-21,GOOGL,Finance,251.74,1931094.0
2023-01-22,GOOGL,Finance,342.22,
2023-01-23,GOOGL,Finance,242.69,1159325.0
2023-01-24,GOOGL,Finance,313.4,2063571.0
2023-01-25,GOOGL,Finance,412.72,4519323.0
2023-01-26,GOOGL,Finance,382.15,697218.0
2023-01-27,GOOGL,Finance,278.55,3915144.0
2023-01-28,GOOGL,Finance,445.69,3536252.0
2023-01-29,GOOGL,Finance,323.26,917052.0
2023-01-30,GOOGL,Finance,315.96,2085957.0
2023-01-31,GOOGL,Finance,113.68,1528080.0
2023-02-01,GOOGL,Finance,494.68,1201928.0
2023-02-02,GOOGL,Finance,149.19,2621279.0
2023-02-03,GOOGL,Finance,192.45,2200343.0
2023-02-04,GOOGL,Finance,120.68,4196392.0
2023-02-05,GOOGL,Finance,356.0,2826016.0
2023-02-06,GOOGL,Finance,189.88,1344289.0
2023-02-07,GOOGL,Finance,172.0,542939.0
2023-02-08,GOOGL,Finance,135.42,1152207.0
2023-02-09,GOOGL,Finance,141.32,3382972.0
2023-02-10,GOOGL,Finance,333.87,404224.0
2023-02-11,GOOGL,Finance,375.28,4514473.0
2023-02-12,GOOGL,Finance,258.95,2811793.0
2023-02-13,GOOGL,Finance,291.96,4847263.0
2023-02-14,GOOGL,Finance,374.39,2419124.0
2023-02-15,GOOGL,Finance,106.95,4023227.0
2023-02-16,GOOGL,Finance,229.25,2173290.0
2023-02-17,GOOGL,Finance,489.24,2618970.0
2023-02-18,GOOGL,Finance,332.04,3989877.0
2023-02-19,GOOGL,Finance,201.69,1827408.0
2023-02-20,GOOGL,Finance,308.69,2901742.0
2023-02-21,GOOGL,Finance,237.06,3188272.0
2023-02-22,GOOGL,Finance,312.9,1155675.0
2023-02-23,GOOGL,Finance,150.3,3664375.0
2023-02-24,GOOGL,Finance,153.09,1065188.0
2023-02-25,GOOGL,Finance,157.42,4848703.0
2023-02-26,GOOGL,Finance,475.93,
2023-02-27,GOOGL,Finance,393.16,2420484.0
2023-02-28,GOOGL,Finance,164.95,4205223.0
2023-03-01,GOOGL,Finance,175.34,2922988.0
2023-03-02,GOOGL,Finance,392.33,4019047.0
2023-03-03,GOOGL,Finance,162.47,3568792.0
2023-03-04,GOOGL,Finance,193.82,587510.0
2023-03-05,GOOGL,Finance,485.34,3675168.0
2023-03-06,GOOGL,Finance,,4155447.0
2023-03-07,GOOGL,Finance,364.65,
2023-03-08,GOOGL,Finance,491.45,1880752.0
2023-03-09,GOOGL,Finance,249.72,3393331.0
2023-03-10,GOOGL,Finance,107.01,3864455.0
2023-03-11,GOOGL,Finance,197.66,4435518.0
2023-03-12,GOOGL,Finance,432.35,503082.0
2023-03-13,GOOGL,Finance,445.84,301139.0
2023-03-14,GOOGL,Finance,407.41,4004722.0
2023-03-15,GOOGL,Finance,145.24,2846866.0
2023-03-16,GOOGL,Finance,418.2,1307786.0
2023-03-17,GOOGL,Finance,467.47,192601.0
2023-03-18,GOOGL,Finance,340.24,3275684.0
2023-03-19,GOOGL,Finance,476.35,3484068.0
2023-03-20,GOOGL,Finance,430.74,729085.0
2023-03-21,GOOGL,Finance,366.79,2059925.0
2023-03-22,GOOGL,Finance,330.87,3109887.0
2023-03-23,GOOGL,Finance,239.43,1618087.0
2023-03-24,GOOGL,Finance,163.71,2113321.0
2023-03-25,GOOGL,Finance,341.98,2618638.0
2023-03-26,GOOGL,Finance,227.24,703103.0
2023-03-27,GOOGL,Finance,446.58,
2023-03-28,GOOGL,Finance,497.33,4666235.0
2023-03-29,GOOGL,Finance,400.97,2089968.0
2023-03-30,GOOGL,Finance,136.19,2345854.0
2023-03-31,GOOGL,Finance,215.47,4739681.0
2023-04-01,GOOGL,Finance,143.64,2716241.0
2023-04-02,GOOGL,Finance,360.2,2943586.0
2023-04-03,GOOGL,Finance,406.08,1357008.0
2023-04-04,GOOGL,Finance,470.27,4170211.0
2023-04-05,GOOGL,Finance,275.27,3943688.0
2023-04-06,GOOGL,Finance,460.55,3716984.0
2023-04-07,GOOGL,Finance,451.16,4417561.0
2023-04-08,GOOGL,Finance,,
2023-04-09,GOOGL,Finance,447.56,1103171.0
2023-04-10,GOOGL,Finance,250.27,3000737.0
2023-04-11,GOOGL,Finance,218.75,1470485.0
2023-04-12,GOOGL,Finance,359.63,1781076.0
2023-04-13,GOOGL,Finance,231.35,1711935.0
2023-04-14,GOOGL,Finance,352.08,212990.0
2023-04-15,GOOGL,Finance,343.93,1081883.0
2023-04-16,GOOGL,Finance,325.38,1768321.0
2023-04-17,GOOGL,Finance,252.17,3393705.0
2023-04-18,GOOGL,Finance,319.4,1718702.0
2023-04-19,GOOGL,Finance,338.59,1600071.0
2023-04-20,GOOGL,Finance,318.27,3859505.0
2023-04-21,GOOGL,Finance,277.77,126806.0
2023-04-22,GOOGL,Finance,105.87,
2023-04-23,GOOGL,Finance,334.82,4364423.0
2023-04-24,GOOGL,Finance,167.38,1973722.0
2023-04-25,GOOGL,Finance,357.03,1619603.0
2023-04-26,GOOGL,Finance,403.74,2068541.0
2023-04-27,GOOGL,Finance,300.18,2604659.0
2023-04-28,GOOGL,Finance,316.95,1850740.0
2023-04-29,GOOGL,Finance,480.59,963403.0
2023-04-30,GOOGL,Finance,438.87,979903.0
2023-05-01,GOOGL,Finance,465.69,985421.0
2023-05-02,GOOGL,Finance,425.51,4378384.0
2023-05-03,GOOGL,Finance,143.57,1078836.0
2023-05-04,GOOGL,Finance,159.6,3323522.0
2023-05-05,GOOGL,Finance,310.65,
2023-05-06,GOOGL,Finance,198.43,279830.0
2023-05-07,GOOGL,Finance,290.68,1656518.0
2023-05-08,GOOGL,Finance,257.75,3584144.0
2023-05-09,GOOGL,Finance,319.77,2759083.0
2023-05-10,GOOGL,Finance,398.75,4213640.0
2023-05-11,GOOGL,Finance,386.2,4600398.0
2023-05-12,GOOGL,Finance,308.49,1336497.0
2023-05-13,GOOGL,Finance,428.96,4977708.0
2023-05-14,GOOGL,Finance,272.34,1647261.0
2023-05-15,GOOGL,Finance,458.69,966183.0
2023-05-16,GOOGL,Finance,128.51,722893.0
2023-05-17,GOOGL,Finance,481.86,4639014.0
2023-05-18,GOOGL,Finance,361.88,3995958.0
2023-05-19,GOOGL,Finance,252.03,4926847.0
2023-05-20,GOOGL,Finance,178.86,551157.0
2023-05-21,GOOGL,Finance,291.67,1365898.0
2023-05-22,GOOGL,Finance,177.82,2220539.0
2023-05-23,GOOGL,Finance,166.53,980412.0
2023-05-24,GOOGL,Finance,346.94,
2023-05-25,GOOGL,Finance,309.23,2341281.0
2023-05-26,GOOGL,Finance,368.04,3834044.0
2023-05-27,GOOGL,Finance,471.84,417875.0
2023-05-28,GOOGL,Finance,312.9,1328337.0
2023-05-29,GOOGL,Finance,332.37,2766078.0
2023-05-30,GOOGL,Finance,135.85,584814.0
2023-05-31,GOOGL,Finance,387.05,1326134.0
2023-06-01,GOOGL,Finance,259.96,3790583.0
2023-06-02,GOOGL,Finance,490.69,2620107.0
2023-06-03,GOOGL,Finance,429.27,1730668.0
2023-06-04,GOOGL,Finance,308.99,1699908.0
2023-06-05,GOOGL,Finance,149.29,2264412.0
2023-06-06,GOOGL,Finance,443.77,2453847.0
2023-06-07,GOOGL,Finance,419.91,2730146.0
2023-06-08,GOOGL,Finance,173.83,2992478.0
2023-06-09,GOOGL,Finance,218.11,2084117.0
2023-06-10,GOOGL,Finance,417.36,2543282.0
2023-06-11,GOOGL,Finance,174.09,129725.0
2023-06-12,GOOGL,Finance,467.1,1285574.0
2023-06-13,GOOGL,Finance,269.81,4398859.0
2023-06-14,GOOGL,Finance,134.82,895928.0
2023-06-15,GOOGL,Finance,426.3,988036.0
2023-06-16,GOOGL,Finance,249.4,
2023-06-17,GOOGL,Finance,310.6,2762761.0
2023-06-18,GOOGL,Finance,144.92,2613024.0
2023-06-19,GOOGL,Finance,101.03,2640034.0
2023-06-20,GOOGL,Finance,355.19,2498083.0
2023-06-21,GOOGL,Finance,306.07,2653314.0
2023-06-22,GOOGL,Finance,337.42,4840319.0
